Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus_Minus
Alec Burks,MIA,33,39,19,20,663.7,239,75,187,40.1,57,139,41,32,42,76.2,13,87,100,43,17,22,6,26,491,0,0,54
Jaylin Williams,OKC,22,41,34,7,693.7,239,84,195,43.1,51,136,37.5,20,26,76.9,44,188,232,104,28,18,26,69,777,3,2,245
Kris Murray,POR,24,60,27,33,855.2,238,98,225,43.6,23,93,24.7,19,46,41.3,64,85,149,52,34,31,13,54,593,0,0,-58
Karlo Matkovi?,NOP,23,35,11,24,634.5,237,96,170,56.5,16,45,35.6,29,37,78.4,59,112,171,35,37,16,35,88,611,3,0,-69
Jett Howard,ORL,21,56,26,30,626.2,231,83,234,35.5,50,169,29.6,15,20,75,20,45,65,41,27,13,10,59,413,0,0,-86
Bol Bol,PHX,25,32,10,22,426.3,229,90,175,51.4,29,88,33,20,26,76.9,19,83,102,20,18,8,24,20,459,1,0,-32
DaQuan Jeffries,CHA,27,36,8,28,784.1,229,85,209,40.7,40,119,33.6,19,23,82.6,29,69,98,38,24,19,21,78,500,0,0,-146
Lindy Waters III,DET,27,47,25,22,699.5,229,83,223,37.2,55,163,33.7,8,11,72.7,17,82,99,47,20,25,10,58,503,0,0,15
Ryan Rollins,MIL,22,46,23,23,577.8,226,85,190,44.7,30,87,34.5,26,30,86.7,20,58,78,64,36,32,16,66,524,0,0,81
Josh Okogie,CHA,26,32,11,21,499.2,220,79,167,47.3,25,65,38.5,37,51,72.5,41,55,96,24,25,40,15,39,511,1,0,25
Ajay Mitchell,OKC,22,34,29,5,561.2,218,84,166,50.6,22,51,43.1,28,33,84.8,17,50,67,57,28,24,3,59,437,1,0,114
Rob Dillingham,MIN,20,44,25,19,504.1,217,92,207,44.4,25,73,34.2,8,15,53.3,12,37,49,96,51,19,1,37,429,0,0,10
Cody Williams,UTA,20,47,9,38,987.6,216,77,236,32.6,33,124,26.6,29,40,72.5,27,82,109,55,42,21,16,89,498,0,0,-299
